S. No.,Word Pair,,Similarity Score
199,?????????,???,6.36
200,?????,?????????,2.18
201,????,?????,6.18
202,???????,?????,3.45
203,????????,???????,5.64
204,????????,?????,6.18
205,?????,????,8.73
206,?????,??????,6.55
207,????,????-???????,5.27
208,????,??????,6.18
209,??,???????,9.27
210,????????,???,7.82
211,???????,???????-?????,6.73
212,??????,??????,2.45
213,??????,????,6.18
214,????,????,8.27
215,??????,???,9.09
216,??????,????,5.27
217,????,??????,5.55
218,????,???????,5.73
219,????????,???????????,4.09
220,??????,???,6.36
221,?????,???????,7.18
222,?????,????,5.09
223,???????,????????,7.45
224,??????,???????,7.27
225,????????????,????,6.36
226,????????,???????????,5.64
227,????????,?????,5.55
228,??????,????-?????,4.09
229,???,?????,5.27
230,?????,?????,3.55
231,?????,???????,3.27
232,????,??????,6.64
233,??????,??,6.36
234,???????,????????,8.36
235,????????,????,5.55
236,?????,????,2.36
237,??????,???????,2.09
238,????,????,4.09
239,??????,??????,4.09
240,??????,??????,5.18
241,?????????,????????,6.27
242,?????????,?????,5.45
243,??????????,?????,4.36
244,????,???,6.27
245,???,?????,6.36
246,???,?????,7.36
247,???,???,5.36
248,???,?????,4.36
249,???????,??????,4.45
250,???????,????,7.64
251,??????,????,2.18
252,???????,??????,5.73
253,???????,????,7.73
254,??????,???????,6.91
255,??????,???,5.73
256,??????,??????,6.18
257,??????,????,6.55
258,????,??????,9.18
259,??????,??????,7.91
260,??????,???,8.36
261,???,????,7.64
262,?????,???????,5.36
263,?????,???????,5.82
264,?????,???????,5.55
265,?????,??????,7.64
266,????,???,7.64
267,????,????,1.27
268,????,?????,6.55
269,????,??????,4.64
270,?????????,?????????,7.27
271,???????,?????????,7.55
272,????,?????,6.73
273,?????,????????,5.09
274,????????,???,7.27
275,????,?????,3.27
276,???????,???,6.73
277,??????,????,7.64
278,???,????,7.27
279,??????,????,4.36
280,???,????,7.55
281,???,???,7.73
282,??????,????-????,6.36
283,???,????????,7.27
284,???,???,6.55
285,???,????????,4.73
286,???????-????,??????,5.55
287,???????-????,????,7.36
288,???????-????,??????,7.18
289,??????,????,5.82
290,??????,????,2.45
291,????,??????,4.73
292,??????,???????,3.45
293,????,???,4.27
294,????,???,4.91
295,???,???,4.82
296,???????????,???,1.82
297,???????????,???-???????????,7.27
298,??????,?????,6.09
299,????,????,1.27
300,???,?????,6.45
301,?????,????,6.91
302,?????,???????,5.45
303,???,???,5.55
304,???????,???????,8.45
305,???????,???????????,7.36
306,???????,????,6.55
307,????,?????,5.27
308,????,????????,6.27
309,?????,?????????,6.82
310,?????,?????,1.82
311,?????,????????,5.27
312,??????,???,7.73
313,??????-?????,??????,5.45
314,???????,???????,4.91
315,????????,??????,7.36
316,??????,?????,6.27
317,?????,?????????,7.09
318,???????,?????,4.45
319,?????,?????,6.09
320,???????,???????,5.73
321,???????,????,5.36
322,????????,????????,6.36
323,????,??????,6.64
324,????????,?????,5.64
325,??????,?????,4.64
326,?????,??????,1.27
327,????,?????,0.73
328,??????,???????,4.09
329,????????,????????,6.45
330,??????,??????,7.18
331,????,????????,4.82
332,???,??????,7.27
333,????,???,4.64
334,?????,??????,7.09
335,?????,?????,6.55
336,?????,????????,5.91
337,????,????,2.55
338,???????????,????,7.73
339,????,???????????,6.18
340,?????????,??????,6.18
341,?????-??????,???-???????,3.45
342,??????,???,1.82
343,?????????,?????,5.09
344,??????,?????????,7.27
345,????????,?????,6.55
346,???????,?????,6.91
347,??????,????,7.09
348,??????,?????,1.73
349,??????,????,1.55
350,????,???????????,7.09
351,????,???????,5.82
352,????????,????????,5.36
353,?????????,???,4.91
